リポジトリ名,GitHub URL,名前A,ドメイン1,ドメイン2,ドメイン3,名前B,ドメイン1,ドメイン2,ドメイン3,Description,説明文
NationalSecurityAgency/timely,https://github.com/NationalSecurityAgency/timely,k-nishiura,Database,Data,,,,,,Accumulo backed time series database,Accumuloバックアップの時系列データベース
Netflix/astyanax,https://github.com/Netflix/astyanax,k-nishiura,Database,,,,,,,Cassandra Java Client,Cassandra Javaクライアント
Netflix/dyno,https://github.com/Netflix/dyno,k-nishiura,Database,,,,,,,Java client for Dynomite,DynomiteのJavaクライアント
NGDATA/hbase-indexer,https://github.com/NGDATA/hbase-indexer,k-nishiura,Database,,,,,,,Lily HBase Indexer - indexing HBase - one row at a time,Lily HBase Indexer-HBaseのインデックス作成-一度に1行
Ninja-Squad/DbSetup,https://github.com/Ninja-Squad/DbSetup,k-nishiura,Database,Testing,,,,,,An API for populating a database in unit tests,単体テストでデータベースに入力するためのAPI
npgall/cqengine,https://github.com/npgall/cqengine,k-nishiura,Database,,,,,,,Ultra-fast SQL-like queries on Java collections,Javaコレクションでの超高速SQLのようなクエリ
nurkiewicz/spring-data-jdbc-repository,https://github.com/nurkiewicz/spring-data-jdbc-repository,k-nishiura,Database,,,,,,,Spring Data JDBC generic DAO implementation,Spring Data JDBCの汎用DAO実装
p6spy/p6spy,https://github.com/p6spy/p6spy,k-nishiura,Database,Operation,,,,,,P6Spy is a framework that enables database data to be seamlessly intercepted and logged with no code changes to the application.,P6Spyは、アプリケーションにコードを変更することなく、データベースデータをシームレスに傍受およびログ記録できるようにするフレームワークです。
Pardot/Rhombus,https://github.com/Pardot/Rhombus,k-nishiura,Database,,,,,,,A time-series object store for Cassandra that handles all the complexity of building wide row indexes.,幅の広い行インデックスを作成する複雑さをすべて処理するCassandraの時系列オブジェクトストア。
pentaho/big-data-plugin,https://github.com/pentaho/big-data-plugin,k-nishiura,Database,Development,,,,,,"Kettle plugin that provides support for interacting within many ""big data"" projects including Hadoop - Hive - HBase - Cassandra - MongoDB - and others.",Hadoop-Hive-HBase-Cassandra-MongoDB-などを含む多くの「ビッグデータ」プロジェクト内での対話をサポートするKettleプラグイン。
pgjdbc/pgjdbc,https://github.com/pgjdbc/pgjdbc,k-nishiura,Database,,,,,,,Postgresql JDBC Driver,Postgresql JDBCドライバー
pietermartin/sqlg,https://github.com/pietermartin/sqlg,k-nishiura,Database,,,,,,,tinkerpop3 graph over sql,SQL上のtinkerpop3グラフ
pushtorefresh/storio,https://github.com/pushtorefresh/storio,k-nishiura,Database,Data,,,,,,Reactive API for SQLiteDatabase and ContentResolver.,SQLiteDatabaseおよびContentResolverのリアクティブAPI。
realm/realm-java,https://github.com/realm/realm-java,k-nishiura,Database,,,,,,,Realm is a mobile database: a replacement for SQLite & ORMs,Realmはモバイルデータベースです：SQLiteとORMの代替
reenWYJ/reen-sharding,https://github.com/reenWYJ/reen-sharding,k-nishiura,Database,,,,,,,轻量级的MySQL数据库的分库分表中间件,量のMySQLデータベースの分数表中の要素
requery/requery,https://github.com/requery/requery,k-nishiura,Database,,,,,,,requery - modern SQL based query & persistence for Java / Kotlin / Android,requery-Java / Kotlin / Android向けの最新のSQLベースのクエリと永続性
RIPE-NCC/whois,https://github.com/RIPE-NCC/whois,k-nishiura,Database,,,,,,,RIPE Database whois code repository,RIPEデータベースwhoisコードリポジトリ
ron190/jsql-injection,https://github.com/ron190/jsql-injection,k-nishiura,Database,,,,,,,jSQL Injection is a Java application for automatic SQL database injection.,jSQLインジェクションは、自動SQLデータベースインジェクション用のJavaアプリケーションです。
schemacrawler/SchemaCrawler,https://github.com/schemacrawler/SchemaCrawler,k-nishiura,Database,,,,,,,Free database schema discovery and comprehension tool,無料のデータベーススキーマ検出および理解ツール
sirixdb/sirix,https://github.com/sirixdb/sirix,k-nishiura,Database,,,,,,,SirixDB facilitates effective and efficient storing and querying of your temporal data. Every commit stores a space-efficient snapshot. It is log-structured and never overwrites data. SirixDB uses a novel page-level versioning approach called sliding snapshot.,SirixDBは、時間データの効果的かつ効率的な保存とクエリを容易にします。すべてのコミットは、スペース効率の良いスナップショットを保存します。ログ構造であり、データを上書きすることはありません。 SirixDBは、スライディングスナップショットと呼ばれる新しいページレベルのバージョン管理アプローチを使用します。
sockeqwe/sqlbrite-dao,https://github.com/sockeqwe/sqlbrite-dao,k-nishiura,Database,,,,,,,DAO for SQLBrite,SQLBriteのDAO
splicemachine/spliceengine,https://github.com/splicemachine/spliceengine,k-nishiura,Database,,,,,,,The SpliceSQL Engine,SpliceSQLエンジン
spotify/heroic,https://github.com/spotify/heroic,k-nishiura,Database,,,,,,,The Heroic Time Series Database,英雄時系列データベース
spring-projects/spring-data-mongodb,https://github.com/spring-projects/spring-data-mongodb,k-nishiura,Database,,,,,,,Provide support to increase developer productivity in Java when using MongoDB. Uses familiar Spring concepts such as a template classes for core API usage and lightweight repository style data access.,MongoDBを使用する場合、Javaで開発者の生産性を向上させるサポートを提供します。コアAPIの使用のためのテンプレートクラスや軽量リポジトリスタイルのデータアクセスなど、おなじみのSpringコンセプトを使用します。
spring-projects/spring-data-neo4j,https://github.com/spring-projects/spring-data-neo4j,k-nishiura,Database,,,,,,,Provides support to increase developer productivity in Java when using the neo4j graph database. Uses familiar Spring concepts such as a template classes for core API usage and provides an annotation based programming model using AspectJ,neo4jグラフデータベースを使用する場合、Javaで開発者の生産性を向上させるサポートを提供します。コアAPIを使用するためのテンプレートクラスなど、おなじみのSpringコンセプトを使用し、AspectJを使用した注釈ベースのプログラミングモデルを提供します。
spring-projects/spring-vault,https://github.com/spring-projects/spring-vault,k-nishiura,Database,Security,,,,,,Provides familiar Spring abstractions for HashiCorp Vault,HashiCorp Vaultの使い慣れたSpring抽象化を提供します
spullara/redis-protocol,https://github.com/spullara/redis-protocol,k-nishiura,Database,,,,,,,Java client and server implementation of Redis,RedisのJavaクライアントおよびサーバー実装
Stratio/cassandra-lucene-index,https://github.com/Stratio/cassandra-lucene-index,k-nishiura,Database,,,,,,,Lucene based secondary indexes for Cassandra,CassandraのLuceneベースのセカンダリインデックス
Syncleus/Ferma,https://github.com/Syncleus/Ferma,k-nishiura,Database,,,,,,,An ORM / OGM for the TinkerPop graph stack.,TinkerPopグラフスタックのORM / OGM。
thinkaurelius/titan,https://github.com/thinkaurelius/titan,k-nishiura,Database,,,,,,,Distributed Graph Database,分散グラフデータベース
uber/AthenaX,https://github.com/uber/AthenaX,k-nishiura,Database,Data,,,,,,SQL-based streaming analytics platform at scale,大規模なSQLベースのストリーミング分析プラットフォーム
vladmihalcea/flexy-pool,https://github.com/vladmihalcea/flexy-pool,k-nishiura,Database,,,,,,,FlexyPool adds metrics and failover strategies to a given Connection Pool - allowing it to resize on demand.,FlexyPoolは、特定の接続プールにメトリックとフェイルオーバー戦略を追加し、オンデマンドでサイズ変更できるようにします。
vladmihalcea/hibernate-types,https://github.com/vladmihalcea/hibernate-types,k-nishiura,Database,,,,,,,The Hibernate Types library gives you extra types that are not supported by the Hibernate ORM core.,Hibernateタイプライブラリは、Hibernate ORMコアでサポートされていない追加のタイプを提供します。
xerial/sqlite-jdbc,https://github.com/xerial/sqlite-jdbc,k-nishiura,Database,,,,,,,SQLite JDBC Driver,SQLite JDBCドライバー
xetorthio/jedis,https://github.com/xetorthio/jedis,k-nishiura,Database,,,s-kokuryo,Database,,,A blazingly small and sane redis java client,非常に小さくて健全なRedis Javaクライアント
yahoo/HaloDB,https://github.com/yahoo/HaloDB,k-nishiura,Database,,,,,,,A fast - log structured key-value store.,高速-ログ構造化キーバリューストア。
zendesk/maxwell,https://github.com/zendesk/maxwell,k-nishiura,Database,Data,,,,,,Maxwell's daemon - a mysql-to-json kafka producer,Maxwellのデーモン-mysql-to-json kafkaプロデューサー
apache/tajo,https://github.com/apache/tajo,k-nishiura,Database,,,,,,,Mirror of Apache Tajo,Apache Tajoのミラー
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,k-nishiura,Database,,,,,,,Mybatis通用分页插件,Mybatis通用分页插件
querydsl/querydsl,https://github.com/querydsl/querydsl,k-nishiura,Database,,,,,,,Unified Queries for Java,Javaの統合クエリ
SciGraph/SciGraph,https://github.com/SciGraph/SciGraph,k-nishiura,Database,,,,,,,A Neo4j backed ontology store,Neo4jがサポートするオントロジーストア
vladmihalcea/hibernate-master-class,https://github.com/vladmihalcea/hibernate-master-class,k-nishiura,Database,,,,,,,Hibernate Master Class is an advance course of one of the most popular JPA implementation,Hibernate Master Classは、最も人気のあるJPA実装の1つの上級コースです
XiaoMi/themis,https://github.com/XiaoMi/themis,k-nishiura,Database,,,,,,,Themis provides cross-row/cross-table transaction on HBase based on google's percolator.,Themisは、Googleのパーコレーターに基づいて、HBaseでクロス行/クロステーブルトランザクションを提供します。
aesteve/nubes,https://github.com/aesteve/nubes,k-nishiura,Development,,,,,,,Annotation layer on top of Vert.x 3,Vert.x 3上のアノテーションレイヤー
alibaba/weex,https://github.com/alibaba/weex,k-nishiura,Development,Multimedia,,,,,,A framework for building Mobile cross-platform UI,モバイルクロスプラットフォームUIを構築するためのフレームワーク
amaembo/huntbugs,https://github.com/amaembo/huntbugs,k-nishiura,Development,,,,,,,Java bytecode static analyzer,Javaバイトコード静的アナライザー
android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,k-nishiura,Development,Android,,,,,,This is a sample app that is part of a series of blog posts I have written about how to architect an android application using Uncle Bob's clean architecture approach.,これは、ボブおじさんのクリーンアーキテクチャアプローチを使用してアンドロイドアプリケーションを設計する方法について書いた一連のブログ投稿の一部であるサンプルアプリです。
antlr/antlr3,https://github.com/antlr/antlr3,k-nishiura,Development,,,,,,,antlr v3 repository (pulled from p4 with history from //depot/code/antlr/antlr3-main,antlr v3リポジトリ（// depot / code / antlr / antlr3-mainの履歴を使用してp4から取得）
antlr/antlr4,https://github.com/antlr/antlr4,k-nishiura,Development,,,,,,,ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading - processing - executing - or translating structured text or binary files.,ANTLR（他の言語認識ツール）は、構造化テキストまたはバイナリファイルの読み取り-処理-実行-または翻訳用の強力なパーサージェネレーターです。
antlr/stringtemplate4,https://github.com/antlr/stringtemplate4,k-nishiura,Development,Document,,,,,,StringTemplate 4,StringTemplate 4
aol/cyclops,https://github.com/aol/cyclops,k-nishiura,Development,Programing,,,,,,An advanced - but easy to use - platform for writing functional applications in Java 8.,Java 8で機能アプリケーションを作成するための高度な（ただし使いやすい）プラットフォーム。
apache/archiva,https://github.com/apache/archiva,k-nishiura,Development,Operation,,,,,,Apache Archiva,アパッチアーキバ
apache/bigtop,https://github.com/apache/bigtop,k-nishiura,Development,,,,,,,Mirror of Apache Bigtop,Apache Bigtopのミラー
apache/fineract,https://github.com/apache/fineract,k-nishiura,Development,,,,,,,Apache Fineract,Apache Fineract
apache/griffin,https://github.com/apache/griffin,k-nishiura,Development,Data,,,,,,Mirror of Apache griffin,Apacheグリフィンの鏡
apache/incubator-brooklyn,https://github.com/apache/incubator-brooklyn,k-nishiura,Development,Utility,,,,,,Mirror of Apache Brooklyn,アパッチブルックリンの鏡
apache/maven,https://github.com/apache/maven,k-nishiura,Development,,,,,,,Apache Maven core,Apache Mavenコア
apache/tomee,https://github.com/apache/tomee,k-nishiura,Development,,,,,,,Mirror of Apache Tomee,Apache Tomeeのミラー
bazelbuild/bazel,https://github.com/bazelbuild/bazel,k-nishiura,Development,,,,,,,a fast - scalable - multi-language and extensible build system,高速でスケーラブルな多言語および拡張可能なビルドシステム
bazelbuild/intellij,https://github.com/bazelbuild/intellij,k-nishiura,Development,,,,,,,IntelliJ plugin for Bazel projects,Bazelプロジェクト用のIntelliJプラグイン
blocoio/faker,https://github.com/blocoio/faker,k-nishiura,Development,Testing,,,,,,A Java port of the Faker ruby gem: https://github.com/stympy/faker/,Faker ruby​​ gemのJavaポート：https://github.com/stympy/faker/
bndtools/bnd,https://github.com/bndtools/bnd,k-nishiura,Development,,,,,,,Bnd/Bndtools.  Tooling to build OSGi bundles including Eclipse - Maven - and Gradle plugins.,Bnd / Bndtools。 Eclipse-Maven-およびGradleプラグインを含むOSGiバンドルを構築するためのツール。
bndtools/bndtools,https://github.com/bndtools/bndtools,k-nishiura,Development,,,,,,,ARCHIVED: The contents of this repo have been merged into the `bnd` repo.,アーカイブ済み：このレポの内容は「bnd」レポにマージされました。
bootique/bootique,https://github.com/bootique/bootique,k-nishiura,Development,Distribution,,,,,,Bootique is a minimally opinionated platform for modern runnable Java apps.,Bootiqueは、最新の実行可能なJavaアプリ向けの最小限のプラットフォームです。
btraceio/btrace,https://github.com/btraceio/btrace,k-nishiura,Development,,,,,,,BTrace - a safe - dynamic tracing tool for the Java platform,BTrace-安全-Javaプラットフォーム用の動的トレースツール
bytemanproject/byteman,https://github.com/bytemanproject/byteman,k-nishiura,Development,,,,,,,Byteman Project main repo,バイトマンプロジェクトのメインリポジトリ
Camelcade/Perl5-IDEA,https://github.com/Camelcade/Perl5-IDEA,k-nishiura,Development,,,,,,,Perl5 plugins for IntelliJ IDEA,IntelliJ IDEA用のPerl5プラグイン
Catrobat/Catroid,https://github.com/Catrobat/Catroid,k-nishiura,Development,Android,,,,,,Writing programs on an Android device without prior knowledge.,事前の知識なしにAndroidデバイスでプログラムを作成します。
cer/event-sourcing-examples,https://github.com/cer/event-sourcing-examples,k-nishiura,Development,,,,,,,Example code for my building and deploying microservices with event sourcing - CQRS and Docker presentation,イベントソーシングを使用したマイクロサービスの構築とデプロイのサンプルコード-CQRSとDockerプレゼンテーション
cflint/CFLint,https://github.com/cflint/CFLint,k-nishiura,Development,,,,,,,Static code analysis for CFML (a linter),CFML（リンター）の静的コード分析
cheese10yun/spring-guide,https://github.com/cheese10yun/spring-guide,k-nishiura,Development,,,,,,,:octocat: Spring 실전 가이드,：octocat：Spring가가이드
cincheo/jsweet,https://github.com/cincheo/jsweet,k-nishiura,Development,,,,,,,A Java to JavaScript transpiler.,JavaからJavaScriptへのトランスパイラー。
classgraph/classgraph,https://github.com/classgraph/classgraph,k-nishiura,Development,Programing,,,,,,An uber-fast - ultra-lightweight - parallelized Java classpath scanner and module scanner.,超高速-超軽量-並列化されたJavaクラスパススキャナーとモジュールスキャナー。
cloudsmith/geppetto,https://github.com/cloudsmith/geppetto,k-nishiura,Development,,,,,,,Geppetto is an integrated toolset for developing Puppet modules and manifests.,Geppettoは、Puppetモジュールとマニフェストを開発するための統合ツールセットです。
commonsguy/cw-omnibus,https://github.com/commonsguy/cw-omnibus,k-nishiura,Development,Android,,,,,,Source code to omnibus edition of _The Busy Coder's Guide to Android Development_,オムニバス版_The Busy Coder's Guide to Android Developmentのソースコード_
CoreMedia/jangaroo-tools,https://github.com/CoreMedia/jangaroo-tools,k-nishiura,Development,,,,,,,AS3 w/o Flash Plugin,FlashプラグインなしのAS3
dayatang/dddlib,https://github.com/dayatang/dddlib,k-nishiura,Development,,,,,,,A DDD (Domain Driven Design) Library - derived from the idea of Eric Evans' book:  'Domain-Driven Design: Tackling Complexity in the Heart of Software',DDD（ドメインドリブンデザイン）ライブラリ-Eric Evansの著書「ドメインドリブンデザイン：ソフトウェアの中心にある複雑さへの取り組み」のアイデアから派生
dbfit/dbfit,https://github.com/dbfit/dbfit,k-nishiura,Development,Testing,Database,,,,,DbFit is a database testing framework that supports easy test-driven development of your database code.,DbFitは、データベースコードの簡単なテスト駆動開発をサポートするデータベーステストフレームワークです。
docdoku/docdoku-plm,https://github.com/docdoku/docdoku-plm,k-nishiura,Development,Operation,,,,,,The project purpose is to develop a comprehensive - robust open source PLM (Product LifeCycle Management) solution.,プロジェクトの目的は、包括的で堅牢なオープンソースPLM（製品ライフサイクル管理）ソリューションを開発することです。
dooApp/FXForm2,https://github.com/dooApp/FXForm2,k-nishiura,Development,Multimedia,,,,,,Dynamic JavaFX form generation,動的JavaFXフォーム生成
eclipse/che,https://github.com/eclipse/che,k-nishiura,Development,Distribution,,,,,,Eclipse Che: Next-generation Eclipse IDE.  Open source workspace server and cloud IDE.,Eclipse Che：次世代のEclipse IDE。オープンソースワークスペースサーバーとクラウドIDE。
eclipse/eclipse-collections,https://github.com/eclipse/eclipse-collections,k-nishiura,Development,,,,,,,Eclipse Collections is a collections framework for Java with optimized data structures and a rich - functional and fluent API.,Eclipseコレクションは、最適化されたデータ構造と豊富で機能的で流APIなAPIを備えたJava用のコレクションフレームワークです。
eclipse/egit,https://github.com/eclipse/egit,k-nishiura,Development,,,,,,,Eclipse Git Team Provider (EGit) project repository (egit),Eclipse Git Team Provider（EGit）プロジェクトリポジトリ（egit）
eclipse/hawkbit,https://github.com/eclipse/hawkbit,k-nishiura,Development,,,,,,,Eclipse hawkBit™,Eclipse hawkBit™
eclipse/kura,https://github.com/eclipse/kura,k-nishiura,Development,,,,,,,Eclipse Kura™ project - http://eclipse.org/kura,Eclipse Kura™プロジェクト-http://eclipse.org/kura
eclipse/leshan,https://github.com/eclipse/leshan,k-nishiura,Development,,,,,,,Eclipse Leshan is an OMA Lightweight M2M (LWM2M) implementation in Java.,Eclipse Leshanは、JavaでのOMA Lightweight M2M（LWM2M）実装です。
eclipse/vorto,https://github.com/eclipse/vorto,k-nishiura,Development,Middleware,,,,,,Vorto Project,ヴォルトプロジェクト
effektif/effektif,https://github.com/effektif/effektif,k-nishiura,Development,,,,,,,Discontinued,廃止
Ekryd/sortpom,https://github.com/Ekryd/sortpom,k-nishiura,Development,,,,,,,Maven plugin that helps the user sort pom.xml.,ユーザーがpom.xmlをソートするのに役立つMavenプラグイン。
ervandew/eclim,https://github.com/ervandew/eclim,k-nishiura,Development,Programing,,,,,,Expose eclipse features inside of vim.,vim内でEclipseフィーチャーを公開します。
EvoSuite/evosuite,https://github.com/EvoSuite/evosuite,k-nishiura,Development,Testing,,,,,,EvoSuite - automated generation of JUnit test suites for Java classes,EvoSuite-Javaクラス用のJUnitテストスイートの自動生成
fabric8io/docker-maven-plugin,https://github.com/fabric8io/docker-maven-plugin,k-nishiura,Development,,,,,,,Maven plugin for running and creating Docker images,Dockerイメージを実行および作成するためのMavenプラグイン
fabric8io/kubernetes-client,https://github.com/fabric8io/kubernetes-client,k-nishiura,Development,,,,,,,Java client for Kubernetes & OpenShift,KubernetesおよびOpenShift用のJavaクライアント
facebook/jcommon,https://github.com/facebook/jcommon,k-nishiura,Development,Web,,,,,,concurrency - collections - zookeeper - stats/analytics - config - testing - etc,並行性-コレクション-zookeeper-統計/分析-構成-テスト-など
facebook/react-native,https://github.com/facebook/react-native,k-nishiura,Development,,,,,,,A framework for building native apps with React.,Reactでネイティブアプリを構築するためのフレームワーク。
ff4j/ff4j,https://github.com/ff4j/ff4j,k-nishiura,Development,Multimedia,,,,,,Feature Flags for Java made easy,Javaの機能フラグが簡単になりました
firebase/firebase-admin-java,https://github.com/firebase/firebase-admin-java,k-nishiura,Development,Web,,,,,,Firebase Admin Java SDK,Firebase Admin Java SDK
FlowCI/flow-platform,https://github.com/FlowCI/flow-platform,k-nishiura,Development,Network,,,,,,[move to flow-platform-x] CI backend server and agent,[flow-platform-xに移動] CIバックエンドサーバーおよびエージェント
fnproject/fdk-java,https://github.com/fnproject/fdk-java,k-nishiura,Development,Programing,,,,,,Java API and runtime for fn.,fnのJava APIとランタイム。
forge/core,https://github.com/forge/core,k-nishiura,Development,,,,,,,Forge Core Framework APIs and Implementation,Forge Core Framework APIと実装
forge/roaster,https://github.com/forge/roaster,k-nishiura,Development,,,,,,,A Java Parser library that allows easy parsing and formatting of Java source files,Javaソースファイルの簡単な解析とフォーマットを可能にするJavaパーサーライブラリ
FreeTymeKiyan/LeetCode-Sol-Res,https://github.com/FreeTymeKiyan/LeetCode-Sol-Res,k-nishiura,Development,,,,,,,Clean - Understandable Solutions and Resources for LeetCode Online Judge Algorithm Problems.,クリーン-LeetCodeオンラインジャッジアルゴリズム問題の理解可能なソリューションとリソース。
gitblit/gitblit,https://github.com/gitblit/gitblit,k-nishiura,Development,,,,,,,pure java git solution,純粋なjava gitソリューション
gocd/gocd,https://github.com/gocd/gocd,k-nishiura,Development,,,,,,,Main repository for GoCD - Continuous Delivery server,GoCDのメインリポジトリ-継続的配信サーバー
google/auto,https://github.com/google/auto,k-nishiura,Development,,,,,,,A collection of source code generators for Java.,Java用のソースコードジェネレーターのコレクション。
google/binnavi,https://github.com/google/binnavi,k-nishiura,Development,,,,,,,BinNavi is a binary analysis IDE that allows to inspect - navigate - edit and annotate control flow graphs and call graphs of disassembled code.,BinNaviは、検査、ナビゲート、制御フローグラフの編集と注釈付け、逆アセンブルされたコードの呼び出しグラフを可能にするバイナリ解析IDEです。
google/error-prone,https://github.com/google/error-prone,k-nishiura,Development,,,,,,,Catch common Java mistakes as compile-time errors,一般的なJavaの間違いをコンパイル時エラーとしてキャッチする
google/mr4c,https://github.com/google/mr4c,k-nishiura,Development,OS,,,,,,,
GoogleCloudPlatform/app-gradle-plugin,https://github.com/GoogleCloudPlatform/app-gradle-plugin,k-nishiura,Development,Android,,,,,,Gradle plugin to build and deploy Google App Engine applications.,Google App EngineアプリケーションをビルドおよびデプロイするGradleプラグイン。
GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,k-nishiura,Development,,,,,,,🏗 Build container images for your Java applications.,Java Javaアプリケーションのコンテナイメージを構築します。
graalvm/sulong,https://github.com/graalvm/sulong,k-nishiura,Development,,,,,,,Obsolete repository. Moved to oracle/graal.,廃止されたリポジトリ。 oracle / graalに移動しました。
gradle/gradle,https://github.com/gradle/gradle,k-nishiura,Development,,,k-yamamoto,Development,,,Adaptable - fast automation for all,適応性-すべての人のための高速自動化
graphaware/neo4j-to-elasticsearch,https://github.com/graphaware/neo4j-to-elasticsearch,k-nishiura,Development,,,,,,,GraphAware Framework Module for Integrating Neo4j with Elasticsearch,Neo4jとElasticsearchを統合するGraphAware Frameworkモジュール
groovy/GMavenPlus,https://github.com/groovy/GMavenPlus,k-nishiura,Development,,,,,,,A rewrite of GMaven - a Maven plugin for Groovy,GMavenの書き直し-GroovyのMavenプラグイン
gudaoxuri/dew,https://github.com/gudaoxuri/dew,k-nishiura,Development,Distribution,,,,,,微服务一站式解决方案，提供：架构指南、容器优先/兼容Spring Cloud与Istio的框架、最佳实践及Devops标准化流程。,クラウドサービスと、Spring CloudとIstioのフレームワーク、最適なプラクティスとDevopsの標準化された流れを提供します。
Haehnchen/idea-php-symfony2-plugin,https://github.com/Haehnchen/idea-php-symfony2-plugin,k-nishiura,Development,,,,,,,IntelliJ IDEA / PhpStorm Symfony Plugin,IntelliJ IDEA / PhpStorm Symfonyプラグイン
heibaiying/spring-samples-for-all,https://github.com/heibaiying/spring-samples-for-all,k-nishiura,Development,,,,,,,spring、spring-boot、spring-cloud 常用整合用例,spring、spring-boot、spring-cloud常用整合用例
hibernate/hibernate-tools,https://github.com/hibernate/hibernate-tools,k-nishiura,Development,,,,,,,Code generation - reverse engineering - ant task and more tools for Hibernate Core,コード生成-リバースエンジニアリング-Hibernate CoreのAntタスクおよびその他のツール
igniterealtime/Smack,https://github.com/igniterealtime/Smack,k-nishiura,Development,Network,,,,,,A modular and portable open source XMPP client library written in Java for Android and Java (SE) VMs,AndroidおよびJava（SE）VM用のJavaで記述された、モジュール式でポータブルなオープンソースXMPPクライアントライブラリ
irmen/Pyrolite,https://github.com/irmen/Pyrolite,k-nishiura,Development,,,,,,,Java and .NET interface to Python's pickle and Pyro protocols,PythonのpickleおよびPyroプロトコルへのJavaおよび.NETインターフェイス
itstamen/rop,https://github.com/itstamen/rop,k-nishiura,Development,,,,,,,rapid open platform,高速オープンプラットフォーム
ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,k-nishiura,Development,,,,,,,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。,例を通してSpring Bootを学ぶことについて。 Spring Bootの教訓、技術の例の代用、高速の簡単な教訓。
jacoco/jacoco,https://github.com/jacoco/jacoco,k-nishiura,Development,,,,,,,:microscope: JaCoCo - Java Code Coverage Library,：microscope：JaCoCo-Javaコードカバレッジライブラリ
jan-molak/jenkins-build-monitor-plugin,https://github.com/jan-molak/jenkins-build-monitor-plugin,k-nishiura,Development,Operation,,,,,,Jenkins CI Build Monitor Plugin,Jenkins CI Build Monitorプラグイン
Jasig/uPortal,https://github.com/Jasig/uPortal,k-nishiura,Development,Web,,,,,,Enterprise open source portal built by and for the higher education community.,高等教育コミュニティによって、またそのために構築されたエンタープライズオープンソースポータル。
javaparser/javaparser,https://github.com/javaparser/javaparser,k-nishiura,Development,,,,,,,Java 1-13 Parser and Abstract Syntax Tree for Java –,Java 1-13 Javaのパーサーと抽象構文ツリー–
javaparser/javasymbolsolver,https://github.com/javaparser/javasymbolsolver,k-nishiura,Development,,,,,,,*old repository* --> this is now integrated in https://github.com/javaparser/javaparser,*古いリポジトリ*->これはhttps://github.com/javaparser/javaparserに統合されました
javolution/javolution,https://github.com/javolution/javolution,k-nishiura,Development,,,,,,,Java Core Library for Real-Time and Embedded Systems,リアルタイムおよび組み込みシステム用のJavaコアライブラリ
jboss-javassist/javassist,https://github.com/jboss-javassist/javassist,k-nishiura,Development,,,,,,,Java bytecode engineering toolkit,Javaバイトコードエンジニアリングツールキット
jcabi/jcabi-github,https://github.com/jcabi/jcabi-github,k-nishiura,Development,Programing,,,,,,Object Oriented Wrapper of Github API,Github APIのオブジェクト指向ラッパー
jeddict/jeddict,https://github.com/jeddict/jeddict,k-nishiura,Development,,,,,,,Jakarta EE 8 (Java EE) & MicroProfile 3.2 application generator and modeler,Jakarta EE 8（Java EE）およびMicroProfile 3.2アプリケーションジェネレーターおよびモデラー
jenkinsci/ec2-plugin,https://github.com/jenkinsci/ec2-plugin,k-nishiura,Development,,,,,,,Jenkins ec2 plugin,Jenkins ec2プラグイン
jenkinsci/github-plugin,https://github.com/jenkinsci/github-plugin,k-nishiura,Development,,,,,,,Jenkins GitHub plugin,Jenkins GitHubプラグイン
jenkinsci/jacoco-plugin,https://github.com/jenkinsci/jacoco-plugin,k-nishiura,Development,,,,,,,Jenkins JaCoCo Plugin,Jenkins JaCoCoプラグイン
jenkinsci/java-client-api,https://github.com/jenkinsci/java-client-api,k-nishiura,Development,,,,,,,A Jenkins API client for Java,Java用のJenkins APIクライアント
jenkinsci/jira-plugin,https://github.com/jenkinsci/jira-plugin,k-nishiura,Development,,,,,,,Jenkins jira plugin,Jenkins jiraプラグイン
jenkinsci/promoted-builds-plugin,https://github.com/jenkinsci/promoted-builds-plugin,k-nishiura,Development,,,,,,,Jenkins Promoted Builds Plugin,Jenkins Promoted Buildsプラグイン
jenkinsci/tfs-plugin,https://github.com/jenkinsci/tfs-plugin,k-nishiura,Development,,,,,,,Jenkins tfs plugin,Jenkins tfsプラグイン
JesusFreke/smali,https://github.com/JesusFreke/smali,k-nishiura,Development,Android,,,,,,smali/baksmali,smali / baksmali
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins,k-nishiura,Development,,,,,,,Open-source plugins included in the distribution of IntelliJ IDEA Ultimate and other IDEs based on the IntelliJ Platform,IntelliJ IDEA UltimateおよびIntelliJプラットフォームに基づく他のIDEの配布に含まれるオープンソースプラグイン
jhipster/jhipster-sample-app-ng2,https://github.com/jhipster/jhipster-sample-app-ng2,k-nishiura,Development,Web,Distribution,,,,,DEPRECATED now that Angular 2+ is the default - This is a sample application created with JHipster - using Angular 2,Angular 2+がデフォルトであるため廃止されました-これはJHipsterで作成されたサンプルアプリケーションです-Angular 2を使用して
JikesRVM/JikesRVM,https://github.com/JikesRVM/JikesRVM,k-nishiura,Development,OS,,,,,,Jikes RVM (Research Virtual Machine),Jikes RVM（研究仮想マシン）
